utr,amount,credited_on,bank_ref
UTR10,1271.41,2026-07-07,BANKREFUTR10
UTR11,1271.41,2026-07-07,BANKREFUTR11
UTR2,617.31,2026-07-15,BANKREFUTR2
UTR3,1245.68,2026-07-20,BANKREFUTR3
UTR4,3319.45,2026-07-20,BANKREFUTR4
UTR6,3551.07,2026-07-12,BANKREFUTR6
UTR7,4794.62,2026-07-13,BANKREFUTR7
UTR8,653.02,2026-07-13,BANKREFUTR8
UTR9,2773.89,2026-07-15,BANKREFUTR9
UTR10,4180.25,2026-07-22,BANKREFUTR10
UTR11,2971.29,2026-07-04,BANKREFUTR11
UTR12,3910.73,2026-07-04,BANKREFUTR12
UTR13,2021.33,2026-07-17,BANKREFUTR13
UTR140,1905.3,2026-07-12,BANKREFUTR140
UTR141,1905.3,2026-07-12,BANKREFUTR141
UTR15,3299.36,2026-07-23,BANKREFUTR15
UTR16,984.33,2026-07-16,BANKREFUTR16
UTR171,3503.18,2026-07-09,BANKREFUTR171
UTR19,667.51,2026-07-10,BANKREFUTR19
UTR20,1710.45,2026-07-24,BANKREFUTR20
UTR21,2402.49,2026-07-12,BANKREFUTR21
UTR23,4509.55,2026-07-14,BANKREFUTR23
UTR26,3062.76,2026-07-15,BANKREFUTR26
UTR280,3465.36,2026-07-07,BANKREFUTR280
UTR281,3465.36,2026-07-07,BANKREFUTR281
UTR29,3804.21,2026-07-23,BANKREFUTR29
UTR30,2286.87,2026-07-18,BANKREFUTR30
UTR31,2628.92,2026-07-10,BANKREFUTR31
UTR32,710.77,2026-07-24,BANKREFUTR32
UTR33,2636.78,2026-07-08,BANKREFUTR33
UTR34,1869.58,2026-07-20,BANKREFUTR34
UTR35,293.49,2026-07-14,BANKREFUTR35
UTR36,1349.37,2026-07-09,BANKREFUTR36
UTR380,3876.01,2026-07-08,BANKREFUTR380
UTR381,3876.01,2026-07-08,BANKREFUTR381
UTR39,992.61,2026-07-19,BANKREFUTR39
UTR41,1165.53,2026-07-13,BANKREFUTR41
UTR42,3319.41,2026-07-17,BANKREFUTR42
UTR46,4326.25,2026-07-05,BANKREFUTR46
UTR47,3411.09,2026-07-10,BANKREFUTR47
UTR48,4676.23,2026-07-20,BANKREFUTR48
UTR49,4075.99,2026-07-10,BANKREFUTR49
UTR50,2269.05,2026-07-17,BANKREFUTR50
UTR51,356.86,2026-07-22,BANKREFUTR51
UTR52,3695.43,2026-07-05,BANKREFUTR52
UTR53,2772.92,2026-07-07,BANKREFUTR53
UTR54,2420.61,2026-07-06,BANKREFUTR54
UTR56,4646.56,2026-07-10,BANKREFUTR56
UTR57,2510.52,2026-07-14,BANKREFUTR57
UTR58,2019.07,2026-07-15,BANKREFUTR58
UTR590,1569.2,2026-07-20,BANKREFUTR590
UTR591,1569.2,2026-07-20,BANKREFUTR591
UTRTZ1,1200.0,2026-07-09,BANKREFUTRTZ1
UTRSPLIT1A,1800.0,2026-07-12,BANKREFUTRSPLIT1A
UTRSPLIT1B,1200.0,2026-07-13,BANKREFUTRSPLIT1B
UTRFEE1,2441.0,2026-07-15,BANKREFUTRFEE1
UTRCB1,1500.0,2026-07-17,BANKREFUTRCB1
UTRCB1REV,-1500.0,2026-07-20,BANKREFUTRCB1REV
