order_id,true_outcome
ORD1000,missing_settlement
ORD1001,duplicate
ORD1002,exact
ORD1003,mismatch
ORD1004,exact
ORD1005,missing_settlement
ORD1006,exact
ORD1007,exact
ORD1008,mismatch
ORD1009,exact
ORD1010,missing_ledger
ORD1011,exact
ORD1012,missing_ledger
ORD1013,mismatch
ORD1014,duplicate
ORD1015,mismatch
ORD1016,exact
ORD1017,duplicate
ORD1018,missing_settlement
ORD1019,partial_refund
ORD1020,exact
ORD1021,exact
ORD1022,missing_settlement
ORD1023,exact
ORD1024,missing_settlement
ORD1025,missing_settlement
ORD1026,exact
ORD1027,missing_ledger
ORD1028,duplicate
ORD1029,exact
ORD1030,exact
ORD1031,partial_refund
ORD1032,exact
ORD1033,exact
ORD1034,partial_refund
ORD1035,missing_ledger
ORD1036,missing_ledger
ORD1037,missing_settlement
ORD1038,duplicate
ORD1039,missing_ledger
ORD1040,missing_settlement
ORD1041,exact
ORD1042,missing_ledger
ORD1043,exact
ORD1044,mismatch
ORD1045,exact
ORD1046,exact
ORD1047,exact
ORD1048,mismatch
ORD1049,exact
ORD1050,exact
ORD1051,partial_refund
ORD1052,exact
ORD1053,exact
ORD1054,exact
ORD1055,partial_refund
ORD1056,exact
ORD1057,missing_ledger
ORD1058,exact
ORD1059,duplicate
ORD9001,tz_drift_not_an_error
ORD9002,legitimate_split_settlement
ORD9003,fee_only_explainable
ORD9004,chargeback_reversal
