order_id,customer,amount,status,created_on,refund_amount
ORD1000,cust_0,3269.25,paid,2026-07-01,0
ORD1001,cust_1,1271.41,paid,2026-07-04,0
ORD1002,cust_2,617.31,paid,2026-07-14,0
ORD1003,cust_3,1249.46,paid,2026-07-17,0
ORD1004,cust_4,3319.45,paid,2026-07-18,0
ORD1005,cust_5,3028.48,paid,2026-07-01,0
ORD1006,cust_6,3551.07,paid,2026-07-11,0
ORD1007,cust_7,4794.62,paid,2026-07-11,0
ORD1008,cust_8,664.24,paid,2026-07-12,0
ORD1009,cust_9,2773.89,paid,2026-07-13,0
ORD1011,cust_11,2971.29,paid,2026-07-03,0
ORD1013,cust_13,2024.61,paid,2026-07-15,0
ORD1014,cust_14,1905.3,paid,2026-07-09,0
ORD1015,cust_15,3310.57,paid,2026-07-20,0
ORD1016,cust_16,984.33,paid,2026-07-13,0
ORD1017,cust_17,3503.18,paid,2026-07-08,0
ORD1018,cust_18,1299.43,paid,2026-07-02,0
ORD1019,cust_19,1485.16,paid,2026-07-07,817.65
ORD1020,cust_20,1710.45,paid,2026-07-21,0
ORD1021,cust_21,2402.49,paid,2026-07-09,0
ORD1022,cust_22,2894.57,paid,2026-07-09,0
ORD1023,cust_23,4509.55,paid,2026-07-13,0
ORD1024,cust_24,2645.73,paid,2026-07-03,0
ORD1025,cust_25,933.64,paid,2026-07-06,0
ORD1026,cust_26,3062.76,paid,2026-07-13,0
ORD1028,cust_28,3465.36,paid,2026-07-04,0
ORD1029,cust_29,3804.21,paid,2026-07-21,0
ORD1030,cust_30,2286.87,paid,2026-07-15,0
ORD1031,cust_31,4404.09,paid,2026-07-09,1775.17
ORD1032,cust_32,710.77,paid,2026-07-21,0
ORD1033,cust_33,2636.78,paid,2026-07-07,0
ORD1034,cust_34,2789.02,paid,2026-07-17,919.44
ORD1037,cust_37,611.14,paid,2026-07-16,0
ORD1038,cust_38,3876.01,paid,2026-07-05,0
ORD1040,cust_40,4828.94,paid,2026-07-18,0
ORD1041,cust_41,1165.53,paid,2026-07-10,0
ORD1043,cust_43,780.82,paid,2026-07-08,0
ORD1044,cust_44,3023.88,paid,2026-07-08,0
ORD1045,cust_45,3229.29,paid,2026-07-08,0
ORD1046,cust_46,4326.25,paid,2026-07-03,0
ORD1047,cust_47,3411.09,paid,2026-07-07,0
ORD1048,cust_48,4690.47,paid,2026-07-19,0
ORD1049,cust_49,4075.99,paid,2026-07-07,0
ORD1050,cust_50,2269.05,paid,2026-07-14,0
ORD1051,cust_51,460.02,paid,2026-07-21,103.16
ORD1052,cust_52,3695.43,paid,2026-07-04,0
ORD1053,cust_53,2774.17,paid,2026-07-05,0
ORD1054,cust_54,2420.61,paid,2026-07-03,0
ORD1055,cust_55,669.96,paid,2026-07-21,393.67
ORD1056,cust_56,4646.56,paid,2026-07-08,0
ORD1058,cust_58,2019.07,paid,2026-07-13,0
ORD1059,cust_59,1569.2,paid,2026-07-18,0
ORD9001,cust_tz1,1200.0,paid,2026-07-10,0
ORD9002,cust_split1,3000.0,paid,2026-07-11,0
ORD9003,cust_fee1,2500.0,paid,2026-07-14,0
ORD9004,cust_chargeback1,1500.0,paid,2026-07-16,0
