settlement_id,payment_id,order_id,amount,utr,settled_on,fee,tax
STL20010,pay_1,ORD1001,1271.41,UTR10,2026-07-07,25.43,4.58
STL20011,pay_1,ORD1001,1271.41,UTR11,2026-07-07,25.43,4.58
STL2002,pay_2,ORD1002,617.31,UTR2,2026-07-15,12.35,2.22
STL2003,pay_3,ORD1003,1245.68,UTR3,2026-07-20,24.99,4.5
STL2004,pay_4,ORD1004,3319.45,UTR4,2026-07-20,66.39,11.95
STL2006,pay_6,ORD1006,3551.07,UTR6,2026-07-12,71.02,12.78
STL2007,pay_7,ORD1007,4794.62,UTR7,2026-07-13,95.89,17.26
STL2008,pay_8,ORD1008,653.02,UTR8,2026-07-13,13.28,2.39
STL2009,pay_9,ORD1009,2773.89,UTR9,2026-07-15,55.48,9.99
STL2010,pay_10,ORD1010,4181.14,UTR10,2026-07-22,83.62,15.05
STL2011,pay_11,ORD1011,2971.29,UTR11,2026-07-04,59.43,10.7
STL2012,pay_12,ORD1012,3910.73,UTR12,2026-07-04,78.21,14.08
STL2013,pay_13,ORD1013,2021.33,UTR13,2026-07-17,40.49,7.29
STL20140,pay_14,ORD1014,1905.3,UTR140,2026-07-12,38.11,6.86
STL20141,pay_14,ORD1014,1905.3,UTR141,2026-07-12,38.11,6.86
STL2015,pay_15,ORD1015,3299.36,UTR15,2026-07-23,66.21,11.92
STL2016,pay_16,ORD1016,984.33,UTR16,2026-07-16,19.69,3.54
STL20170,pay_17,ORD1017,3503.18,UTR170,2026-07-09,70.06,12.61
STL20171,pay_17,ORD1017,3503.18,UTR171,2026-07-09,70.06,12.61
STL2019,pay_19,ORD1019,667.51,UTR19,2026-07-10,29.7,5.35
STL2020,pay_20,ORD1020,1710.45,UTR20,2026-07-24,34.21,6.16
STL2021,pay_21,ORD1021,2402.49,UTR21,2026-07-12,48.05,8.65
STL2023,pay_23,ORD1023,4509.55,UTR23,2026-07-14,90.19,16.23
STL2026,pay_26,ORD1026,3062.76,UTR26,2026-07-15,61.26,11.03
STL2027,pay_27,ORD1027,2739.75,UTR27,2026-07-19,54.8,9.86
STL20280,pay_28,ORD1028,3465.36,UTR280,2026-07-07,69.31,12.48
STL20281,pay_28,ORD1028,3465.36,UTR281,2026-07-07,69.31,12.48
STL2029,pay_29,ORD1029,3804.21,UTR29,2026-07-23,76.08,13.7
STL2030,pay_30,ORD1030,2286.87,UTR30,2026-07-18,45.74,8.23
STL2031,pay_31,ORD1031,2628.92,UTR31,2026-07-10,88.08,15.85
STL2032,pay_32,ORD1032,710.77,UTR32,2026-07-24,14.22,2.56
STL2033,pay_33,ORD1033,2636.78,UTR33,2026-07-08,52.74,9.49
STL2034,pay_34,ORD1034,1869.58,UTR34,2026-07-20,55.78,10.04
STL2035,pay_35,ORD1035,293.49,UTR35,2026-07-14,5.87,1.06
STL2036,pay_36,ORD1036,1349.37,UTR36,2026-07-09,26.99,4.86
STL20380,pay_38,ORD1038,3876.01,UTR380,2026-07-08,77.52,13.95
STL20381,pay_38,ORD1038,3876.01,UTR381,2026-07-08,77.52,13.95
STL2039,pay_39,ORD1039,992.61,UTR39,2026-07-19,19.85,3.57
STL2041,pay_41,ORD1041,1165.53,UTR41,2026-07-13,23.31,4.2
STL2042,pay_42,ORD1042,3319.41,UTR42,2026-07-17,66.39,11.95
STL2043,pay_43,ORD1043,780.82,UTR43,2026-07-09,15.62,2.81
STL2044,pay_44,ORD1044,3021.89,UTR44,2026-07-09,60.48,10.89
STL2045,pay_45,ORD1045,3229.29,UTR45,2026-07-09,64.59,11.63
STL2046,pay_46,ORD1046,4326.25,UTR46,2026-07-05,86.53,15.57
STL2047,pay_47,ORD1047,3411.09,UTR47,2026-07-10,68.22,12.28
STL2048,pay_48,ORD1048,4678.49,UTR48,2026-07-20,93.81,16.89
STL2049,pay_49,ORD1049,4075.99,UTR49,2026-07-10,81.52,14.67
STL2050,pay_50,ORD1050,2269.05,UTR50,2026-07-17,45.38,8.17
STL2051,pay_51,ORD1051,356.86,UTR51,2026-07-22,9.2,1.66
STL2052,pay_52,ORD1052,3695.43,UTR52,2026-07-05,73.91,13.3
STL2053,pay_53,ORD1053,2774.17,UTR53,2026-07-07,55.48,9.99
STL2054,pay_54,ORD1054,2420.61,UTR54,2026-07-06,48.41,8.71
STL2055,pay_55,ORD1055,276.29,UTR55,2026-07-22,13.4,2.41
STL2056,pay_56,ORD1056,4646.56,UTR56,2026-07-10,92.93,16.73
STL2057,pay_57,ORD1057,2510.52,UTR57,2026-07-14,50.21,9.04
STL2058,pay_58,ORD1058,2019.07,UTR58,2026-07-15,40.38,7.27
STL20590,pay_59,ORD1059,1569.2,UTR590,2026-07-20,31.38,5.65
STL20591,pay_59,ORD1059,1569.2,UTR591,2026-07-20,31.38,5.65
STL9001,pay_tz1,ORD9001,1200.0,UTRTZ1,2026-07-09,24.0,4.32
STL9002A,pay_split1,ORD9002,1800.0,UTRSPLIT1A,2026-07-12,36.0,6.48
STL9002B,pay_split1,ORD9002,1200.0,UTRSPLIT1B,2026-07-13,24.0,4.32
STL9003,pay_fee1,ORD9003,2441.0,UTRFEE1,2026-07-15,50.0,9.0
STL9004,pay_cb1,ORD9004,1500.0,UTRCB1,2026-07-17,30.0,5.4
STL9004R,pay_cb1_reversal,ORD9004,-1500.0,UTRCB1REV,2026-07-20,0,0
